number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
10001,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.6226150773201509,1.0,500,false,9
10002,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.6627529397456613,1.0,500,false,79
10003,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.6496013321747841,1.0,500,false,2
10004,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.6232141015698013,1.0,500,false,14
10005,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.6232141015698013,1.0,500,false,108
10006,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7490928294764028,1.0,500,false,359
10007,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.6232141015698013,1.0,500,false,43
10008,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.6247953757808069,1.0,500,false,3
10009,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,0.7491165997573589,1.0,500,false,141
10010,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.6226150773201509,1.0,500,false,9
10011,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.6627529397456613,1.0,500,false,79
10012,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.6496013321747841,1.0,500,false,2
10013,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.6232141015698013,1.0,500,false,14
10014,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.6232141015698013,1.0,500,false,108
10015,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7490928294764028,1.0,500,false,359
10016,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.6232141015698013,1.0,500,false,43
10017,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.6247953757808069,1.0,500,false,3
10018,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,0.7491165997573589,1.0,500,false,141
10019,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.6226150773201509,1.0,500,false,9
10020,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.6627529397456613,1.0,500,false,79
10021,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.6496013321747841,1.0,500,false,2
10022,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.6232141015698013,1.0,500,false,14
10023,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.6232141015698013,1.0,500,false,108
10024,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7490928294764028,1.0,500,false,359
10025,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.6232141015698013,1.0,500,false,43
10026,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.6247953757808069,1.0,500,false,3
10027,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,0.7491165997573589,1.0,500,false,141
20001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.9668662529944331,1.0,500,false,184
20002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,0.7436975247744586,1.0,500,false,21
20003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,0.8208807487173011,1.0,500,false,310
20004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,0.9992164682223881,1.0,500,false,9
20005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,23
20006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.9992164682223881,1.0,500,false,276
20007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,30
20008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,9
20009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,208
20010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.9668662529944331,1.0,500,false,184
20011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,0.7436975247744586,1.0,500,false,21
20012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,0.8208807487173011,1.0,500,false,310
20013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,0.9992164682223881,1.0,500,false,9
20014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,23
20015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.9992164682223881,1.0,500,false,276
20016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,30
20017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,9
20018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,208
20019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.9668662529944331,1.0,500,false,184
20020,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,0.7436975247744586,1.0,500,false,21
20021,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,0.8208807487173011,1.0,500,false,310
20022,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,0.9992164682223881,1.0,500,false,9
20023,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,23
20024,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.9992164682223881,1.0,500,false,276
20025,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,30
20026,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,9
20027,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,208
30001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,1.0,1.0,500,true,12
30002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,1.0,1.0,500,true,426
30003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,1.0,1.0,500,true,39
30004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,1.0,1.0,500,true,15
30005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,1.0,1.0,500,true,19
30006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,1.0,1.0,500,true,12
30007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,1.0,1.0,500,true,23
30008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,1.0,1.0,500,true,27
30009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,1.0,1.0,500,true,76
30010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,1.0,1.0,500,true,12
30011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,1.0,1.0,500,true,426
30012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,1.0,1.0,500,true,39
30013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,1.0,1.0,500,true,15
30014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,1.0,1.0,500,true,19
30015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,1.0,1.0,500,true,12
30016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,1.0,1.0,500,true,23
30017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,1.0,1.0,500,true,27
30018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,1.0,1.0,500,true,76
30019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,1.0,1.0,500,true,12
30020,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,1.0,1.0,500,true,426
30021,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,1.0,1.0,500,true,39
30022,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,1.0,1.0,500,true,15
30023,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,1.0,1.0,500,true,19
30024,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,1.0,1.0,500,true,12
30025,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,1.0,1.0,500,true,23
30026,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,1.0,1.0,500,true,27
30027,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,1.0,1.0,500,true,76
40001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-2.0,0.9600646807130194,1.0,500,false,44
40002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-2.0,0.9839040756692116,1.0,500,false,34
40003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-2.0,0.8754865779090201,1.0,500,false,5
40004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-2.0,1.0,1.0,500,true,20
40005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-2.0,1.0,1.0,500,true,45
40006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-2.0,0.9888108392331435,1.0,500,false,10
40007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-2.0,1.0,1.0,500,true,46
40008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-2.0,1.0,1.0,500,true,52
40009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-2.0,1.0,1.0,500,true,70
40010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-2.0,0.9600646807130194,1.0,500,false,44
40011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-2.0,0.9839040756692116,1.0,500,false,34
40012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-2.0,0.8754865779090201,1.0,500,false,5
40013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-2.0,1.0,1.0,500,true,20
40014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-2.0,1.0,1.0,500,true,45
40015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-2.0,0.9888108392331435,1.0,500,false,10
40016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-2.0,1.0,1.0,500,true,46
40017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-2.0,1.0,1.0,500,true,52
40018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-2.0,1.0,1.0,500,true,70
40019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-2.0,0.9600646807130194,1.0,500,false,44
40020,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-2.0,0.9839040756692116,1.0,500,false,34
40021,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-2.0,0.8754865779090201,1.0,500,false,5
40022,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-2.0,1.0,1.0,500,true,20
40023,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-2.0,1.0,1.0,500,true,45
40024,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-2.0,0.9888108392331435,1.0,500,false,10
40025,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-2.0,1.0,1.0,500,true,46
40026,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-2.0,1.0,1.0,500,true,52
40027,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-2.0,1.0,1.0,500,true,70
50001,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-1.0,0.6191914888959572,1.0,500,false,6
50002,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-1.0,0.6161404369865509,1.0,500,false,5
50003,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-1.0,0.6229469505098374,1.0,500,false,15
50004,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-1.0,0.6232141015698013,1.0,500,false,10
50005,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-1.0,0.6232141015698013,1.0,500,false,7
50006,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-1.0,0.6232141015698013,1.0,500,false,10
50007,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-1.0,0.6232141015698013,1.0,500,false,13
50008,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.9,-1.0,0.6232141015698013,1.0,500,false,10
50009,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.9,-1.0,0.6232141015698013,1.0,500,false,14
50010,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-1.0,0.6191914888959572,1.0,500,false,6
50011,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-1.0,0.6161404369865509,1.0,500,false,5
50012,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-1.0,0.6229469505098374,1.0,500,false,15
50013,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-1.0,0.6232141015698013,1.0,500,false,10
50014,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-1.0,0.6232141015698013,1.0,500,false,7
50015,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-1.0,0.6232141015698013,1.0,500,false,10
50016,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-1.0,0.6232141015698013,1.0,500,false,13
50017,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.9,-1.0,0.6232141015698013,1.0,500,false,10
50018,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.9,-1.0,0.6232141015698013,1.0,500,false,14
50019,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-1.0,0.6191914888959572,1.0,500,false,6
50020,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-1.0,0.6161404369865509,1.0,500,false,5
50021,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-1.0,0.6229469505098374,1.0,500,false,15
50022,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-1.0,0.6232141015698013,1.0,500,false,10
50023,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-1.0,0.6232141015698013,1.0,500,false,7
50024,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-1.0,0.6232141015698013,1.0,500,false,10
50025,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-1.0,0.6232141015698013,1.0,500,false,13
50026,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.9,-1.0,0.6232141015698013,1.0,500,false,10
50027,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.9,-1.0,0.6232141015698013,1.0,500,false,14
60001,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-1.5,0.7272815826174951,1.0,500,false,7
60002,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-1.5,0.7185462325681675,1.0,500,false,5
60003,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-1.5,0.7444628170871936,1.0,500,false,14
60004,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-1.5,0.7472681705765748,1.0,500,false,6
60005,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-1.5,0.7472681705765748,1.0,500,false,5
60006,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-1.5,0.7472681705765748,1.0,500,false,11
60007,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-1.5,0.7472681705765748,1.0,500,false,24
60008,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.9,-1.5,0.7472681705765748,1.0,500,false,18
60009,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.9,-1.5,0.7472681705765748,1.0,500,false,31
60010,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-1.5,0.7272815826174951,1.0,500,false,7
60011,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-1.5,0.7185462325681675,1.0,500,false,5
60012,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-1.5,0.7444628170871936,1.0,500,false,14
60013,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-1.5,0.7472681705765748,1.0,500,false,6
60014,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-1.5,0.7472681705765748,1.0,500,false,5
60015,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-1.5,0.7472681705765748,1.0,500,false,11
60016,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-1.5,0.7472681705765748,1.0,500,false,24
60017,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.9,-1.5,0.7472681705765748,1.0,500,false,18
60018,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.9,-1.5,0.7472681705765748,1.0,500,false,31
60019,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-1.5,0.7272815826174951,1.0,500,false,7
60020,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-1.5,0.7185462325681675,1.0,500,false,5
60021,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-1.5,0.7444628170871936,1.0,500,false,14
60022,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-1.5,0.7472681705765748,1.0,500,false,6
60023,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-1.5,0.7472681705765748,1.0,500,false,5
60024,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-1.5,0.7472681705765748,1.0,500,false,11
60025,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-1.5,0.7472681705765748,1.0,500,false,24
60026,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.9,-1.5,0.7472681705765748,1.0,500,false,18
60027,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.9,-1.5,0.7472681705765748,1.0,500,false,31
70001,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-2.0,0.7472681705765748,1.0,500,false,5
70002,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-2.0,0.7444331020197464,1.0,500,false,5
70003,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-2.0,0.7220385381876266,1.0,500,false,11
70004,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-2.0,0.7472681705765748,1.0,500,false,17
70005,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-2.0,0.7472681705765748,1.0,500,false,9
70006,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-2.0,0.7472681705765748,1.0,500,false,15
70007,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-2.0,0.7472681705765748,1.0,500,false,17
70008,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.9,-2.0,0.7472681705765748,1.0,500,false,35
70009,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.9,-2.0,0.7472681705765748,1.0,500,false,24
70010,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.1,-2.0,0.7472681705765748,1.0,500,false,5
70011,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.1,-2.0,0.7444331020197464,1.0,500,false,5
70012,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.1,-2.0,0.7220385381876266,1.0,500,false,11
70013,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.5,-2.0,0.7472681705765748,1.0,500,false,17
70014,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.0,1.0,0.5,-2.0,0.7472681705765748,1.0,500,false,9
70015,1,Shubert function,true,Penalty Method,Constraint 5,13,5,1.5,0.5,0.5,-2.0,0.7472681705765748,1.0,500,false,15
70016,1,Shubert function,true,Penalty Method,Constraint 5,13,5,0.5,1.5,0.9,-2.0,0.7472681705765748,1.0,500,false,17
