number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
10001,1,Shubert function,false,,,2,5,0.8,1.6,0.3,-0.15,0.8792050241198657,1.0,500,false,45
10002,1,Shubert function,false,,,10,5,0.8,1.6,0.3,-0.15,0.9970438695245746,1.0,500,false,19
10003,1,Shubert function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7491165997573589,1.0,500,false,3
20001,1,Booth's function,false,,,2,5,0.8,1.6,0.3,-0.15,0.9813909031686192,1.0,500,false,78
20002,1,Booth's function,false,,,10,5,0.8,1.6,0.3,-0.15,0.9805365400429318,1.0,500,false,12
20003,1,Booth's function,false,,,19,5,0.8,1.6,0.3,-0.15,0.9939927592725099,1.0,500,false,13
30001,1,Schwefel function,false,,,2,5,0.8,1.6,0.3,-0.15,0.6867678177756631,1.0,500,false,196
30002,1,Schwefel function,false,,,10,5,0.8,1.6,0.3,-0.15,0.7500000000000001,1.0,500,false,64
30003,1,Schwefel function,false,,,19,5,0.8,1.6,0.3,-0.15,0.7604879928317675,1.0,500,false,43
40001,1,Shubert function,false,,,2,10,0.8,1.6,0.3,-0.15,0.6247953757808069,1.0,500,false,35
40002,1,Shubert function,false,,,10,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,17
40003,1,Shubert function,false,,,19,10,0.8,1.6,0.3,-0.15,0.7491165997573589,1.0,500,false,13
50001,1,Booth's function,false,,,2,10,0.8,1.6,0.3,-0.15,0.9983713702916582,1.0,500,false,33
50002,1,Booth's function,false,,,10,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,14
50003,1,Booth's function,false,,,19,10,0.8,1.6,0.3,-0.15,0.9995247605113363,1.0,500,false,17
60001,1,Schwefel function,false,,,2,10,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,121
60002,1,Schwefel function,false,,,10,10,0.8,1.6,0.3,-0.15,0.9333438584571406,1.0,500,false,152
60003,1,Schwefel function,false,,,19,10,0.8,1.6,0.3,-0.15,0.9942638007187765,1.0,500,false,35
70001,1,Shubert function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,22
70002,1,Shubert function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,4
70003,1,Shubert function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
80001,1,Booth's function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,44
80002,1,Booth's function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,5
80003,1,Booth's function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
90001,1,Schwefel function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,169
90002,1,Schwefel function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,33
90003,1,Schwefel function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,19
