number,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,
0,Shubert function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,0.3,-0.15,
1,Booth's function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,0.3,-0.15,
2,Schwefel function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,0.3,-0.15,
3,Shubert function,true,Penalty Method,Constraint 3,2,13,0.8,1.6,0.3,-0.15,
4,Booth's function,true,Penalty Method,Constraint 3,2,13,0.8,1.6,0.3,-0.15,
5,Schwefel function,true,Penalty Method,Constraint 3,2,13,0.8,1.6,0.3,-0.15,
6,Shubert function,true,Penalty Method,Constraint 3,10,13,0.8,1.6,0.3,-0.15,
7,Booth's function,true,Penalty Method,Constraint 3,10,13,0.8,1.6,0.3,-0.15,
8,Schwefel function,true,Penalty Method,Constraint 3,10,13,0.8,1.6,0.3,-0.15,
9,Shubert function,true,Penalty Method,Constraint 3,20,13,0.8,1.6,0.3,-0.15,
10,Booth's function,true,Penalty Method,Constraint 3,20,13,0.8,1.6,0.3,-0.15,
11,Schwefel function,true,Penalty Method,Constraint 3,20,13,0.8,1.6,0.3,-0.15,
12,Shubert function,true,Penalty Method,Constraint 3,13,13,0.1,1.0,0.3,-0.15,
13,Booth's function,true,Penalty Method,Constraint 3,13,13,0.1,1.0,0.3,-0.15,
14,Schwefel function,true,Penalty Method,Constraint 3,13,13,0.1,1.0,0.3,-0.15,
15,Shubert function,true,Penalty Method,Constraint 3,13,13,0.8,0.8,0.3,-0.15,
16,Booth's function,true,Penalty Method,Constraint 3,13,13,0.8,0.8,0.3,-0.15,
17,Schwefel function,true,Penalty Method,Constraint 3,13,13,0.8,0.8,0.3,-0.15,
18,Shubert function,true,Penalty Method,Constraint 3,13,13,1.0,1.0,0.3,-0.15,
19,Booth's function,true,Penalty Method,Constraint 3,13,13,1.0,1.0,0.3,-0.15,
20,Schwefel function,true,Penalty Method,Constraint 3,13,13,1.0,1.0,0.3,-0.15,
21,Shubert function,true,Penalty Method,Constraint 3,13,13,1.0,0.1,0.3,-0.15,
22,Booth's function,true,Penalty Method,Constraint 3,13,13,1.0,0.1,0.3,-0.15,
23,Schwefel function,true,Penalty Method,Constraint 3,13,13,1.0,0.1,0.3,-0.15,
24,Shubert function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,0.1,-0.15,
25,Booth's function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,0.1,-0.15,
26,Schwefel function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,0.1,-0.15,
27,Shubert function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,1.0,-0.15,
28,Booth's function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,1.0,-0.15,
29,Schwefel function,true,Penalty Method,Constraint 3,13,13,0.8,1.6,1.0,-0.15,
30,Shubert function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,0.3,-0.15,
31,Booth's function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,0.3,-0.15,
32,Schwefel function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,0.3,-0.15,
33,Shubert function,true,Penalty Method,Constraint 5,2,13,0.8,1.6,0.3,-0.15,
34,Booth's function,true,Penalty Method,Constraint 5,2,13,0.8,1.6,0.3,-0.15,
35,Schwefel function,true,Penalty Method,Constraint 5,2,13,0.8,1.6,0.3,-0.15,
36,Shubert function,true,Penalty Method,Constraint 5,10,13,0.8,1.6,0.3,-0.15,
37,Booth's function,true,Penalty Method,Constraint 5,10,13,0.8,1.6,0.3,-0.15,
38,Schwefel function,true,Penalty Method,Constraint 5,10,13,0.8,1.6,0.3,-0.15,
39,Shubert function,true,Penalty Method,Constraint 5,20,13,0.8,1.6,0.3,-0.15,
40,Booth's function,true,Penalty Method,Constraint 5,20,13,0.8,1.6,0.3,-0.15,
41,Schwefel function,true,Penalty Method,Constraint 5,20,13,0.8,1.6,0.3,-0.15,
42,Shubert function,true,Penalty Method,Constraint 5,13,13,0.1,1.0,0.3,-0.15,
43,Booth's function,true,Penalty Method,Constraint 5,13,13,0.1,1.0,0.3,-0.15,
44,Schwefel function,true,Penalty Method,Constraint 5,13,13,0.1,1.0,0.3,-0.15,
45,Shubert function,true,Penalty Method,Constraint 5,13,13,0.8,0.8,0.3,-0.15,
46,Booth's function,true,Penalty Method,Constraint 5,13,13,0.8,0.8,0.3,-0.15,
47,Schwefel function,true,Penalty Method,Constraint 5,13,13,0.8,0.8,0.3,-0.15,
48,Shubert function,true,Penalty Method,Constraint 5,13,13,1.0,1.0,0.3,-0.15,
49,Booth's function,true,Penalty Method,Constraint 5,13,13,1.0,1.0,0.3,-0.15,
50,Schwefel function,true,Penalty Method,Constraint 5,13,13,1.0,1.0,0.3,-0.15,
51,Shubert function,true,Penalty Method,Constraint 5,13,13,1.0,0.1,0.3,-0.15,
52,Booth's function,true,Penalty Method,Constraint 5,13,13,1.0,0.1,0.3,-0.15,
53,Schwefel function,true,Penalty Method,Constraint 5,13,13,1.0,0.1,0.3,-0.15,
54,Shubert function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,0.1,-0.15,
55,Booth's function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,0.1,-0.15,
56,Schwefel function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,0.1,-0.15,
57,Shubert function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,1.0,-0.15,
58,Booth's function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,1.0,-0.15,
