number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
10001,1,Shubert function,false,,,2,5,0.5,1.5,0.1,-0.15,0.5933297765281946,1.0,500,false,49
10002,1,Shubert function,false,,,2,5,1.0,1.0,0.1,-0.15,0.4937207661537973,1.0,500,false,3
10003,1,Shubert function,false,,,2,5,1.5,0.5,0.1,-0.15,0.4937207661537973,1.0,500,false,3
10004,1,Shubert function,false,,,2,5,0.5,1.5,0.5,-0.15,0.6761778228928795,1.0,500,false,78
10005,1,Shubert function,false,,,2,5,1.0,1.0,0.5,-0.15,0.5598335172591484,1.0,500,false,6
10006,1,Shubert function,false,,,2,5,1.5,0.5,0.5,-0.15,0.5598335172591484,1.0,500,false,6
10007,1,Shubert function,false,,,2,5,0.5,1.5,0.9,-0.15,0.7454303908058972,1.0,500,false,50
10008,1,Shubert function,false,,,2,5,1.0,1.0,0.9,-0.15,0.7454303908058972,1.0,500,false,240
10009,1,Shubert function,false,,,2,5,1.5,0.5,0.9,-0.15,0.7444299968153774,1.0,500,false,31
10010,1,Shubert function,false,,,10,5,0.5,1.5,0.1,-0.15,0.7416007690398239,1.0,500,false,12
10011,1,Shubert function,false,,,10,5,1.0,1.0,0.1,-0.15,0.7454303908058972,1.0,500,false,18
10012,1,Shubert function,false,,,10,5,1.5,0.5,0.1,-0.15,0.7131737151743146,1.0,500,false,33
10013,1,Shubert function,false,,,10,5,0.5,1.5,0.5,-0.15,0.7472681705765748,1.0,500,false,11
10014,1,Shubert function,false,,,10,5,1.0,1.0,0.5,-0.15,0.7472681705765748,1.0,500,false,36
10015,1,Shubert function,false,,,10,5,1.5,0.5,0.5,-0.15,0.7472681705765748,1.0,500,false,41
10016,1,Shubert function,false,,,10,5,0.5,1.5,0.9,-0.15,0.7472681705765748,1.0,500,false,45
10017,1,Shubert function,false,,,10,5,1.0,1.0,0.9,-0.15,0.7472681705765748,1.0,500,false,41
10018,1,Shubert function,false,,,10,5,1.5,0.5,0.9,-0.15,0.7472681705765748,1.0,500,false,85
10019,1,Shubert function,false,,,19,5,0.5,1.5,0.1,-0.15,0.7434163572435951,1.0,500,false,5
10020,1,Shubert function,false,,,19,5,1.0,1.0,0.1,-0.15,0.7434163572435951,1.0,500,false,4
10021,1,Shubert function,false,,,19,5,1.5,0.5,0.1,-0.15,0.7148245767010566,1.0,500,false,30
10022,1,Shubert function,false,,,19,5,0.5,1.5,0.5,-0.15,0.7472681705765748,1.0,500,false,6
10023,1,Shubert function,false,,,19,5,1.0,1.0,0.5,-0.15,0.7472681705765748,1.0,500,false,9
10024,1,Shubert function,false,,,19,5,1.5,0.5,0.5,-0.15,0.7472681705765748,1.0,500,false,30
10025,1,Shubert function,false,,,19,5,0.5,1.5,0.9,-0.15,0.7472681705765748,1.0,500,false,38
10026,1,Shubert function,false,,,19,5,1.0,1.0,0.9,-0.15,0.7472681705765748,1.0,500,false,22
10027,1,Shubert function,false,,,19,5,1.5,0.5,0.9,-0.15,0.7472681705765748,1.0,500,false,46
20001,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.1,-1.0,0.8385454501825866,1.0,500,false,56
20002,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.1,-1.0,0.809387869348154,1.0,500,false,69
20003,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.5,0.5,0.1,-1.0,0.7227025163175153,1.0,500,false,265
20004,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.5,-1.0,0.8913051479837601,1.0,500,false,43
20005,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.5,-1.0,0.7784428937838518,1.0,500,false,11
20006,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.5,0.5,0.5,-1.0,0.7458987535013699,1.0,500,false,11
20007,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,34
20008,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,117
20009,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,27
20010,1,Shubert function,true,Penalty Method,Constraint 3,10,5,0.5,1.5,0.1,-1.0,0.9978244196945305,1.0,500,false,15
20011,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.0,1.0,0.1,-1.0,0.9888108392331435,1.0,500,false,46
20012,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.5,0.5,0.1,-1.0,0.8912298668641278,1.0,500,false,5
20013,1,Shubert function,true,Penalty Method,Constraint 3,10,5,0.5,1.5,0.5,-1.0,1.0,1.0,500,true,24
20014,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,14
20015,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.5,0.5,0.5,-1.0,0.9992164682223881,1.0,500,false,12
20016,1,Shubert function,true,Penalty Method,Constraint 3,10,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,34
20017,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,41
20018,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,8
20019,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.1,-1.0,0.9984340102660186,1.0,500,false,8
20020,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.1,-1.0,0.995478960788984,1.0,500,false,6
20021,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.1,-1.0,1.0,1.0,500,true,159
20022,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.5,-1.0,1.0,1.0,500,true,7
20023,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,10
20024,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.5,-1.0,0.9802668078726487,1.0,500,false,13
20025,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,51
20026,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,26
20027,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,70
30001,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.1,-1.5,0.8792050241198657,1.0,500,false,26
30002,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.1,-1.5,0.9722211821975623,1.0,500,false,362
