number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
10001,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.7407959057417848,1.0,500,false,10
10002,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.7417848002687549,1.0,500,false,33
10003,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.7454335058361579,1.0,500,false,16
10004,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.7472681705765748,1.0,500,false,7
10005,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.7472681705765748,1.0,500,false,16
10006,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7454335058361579,1.0,500,false,190
10007,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.7472681705765748,1.0,500,false,83
10008,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.7472681705765748,1.0,500,false,39
10009,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,1.0,1.0,500,true,79
10010,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.7407959057417848,1.0,500,false,10
10011,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.7417848002687549,1.0,500,false,33
10012,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.7454335058361579,1.0,500,false,16
10013,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.7472681705765748,1.0,500,false,7
10014,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.7472681705765748,1.0,500,false,16
10015,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7454335058361579,1.0,500,false,190
10016,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.7472681705765748,1.0,500,false,83
10017,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.7472681705765748,1.0,500,false,39
10018,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,1.0,1.0,500,true,79
10019,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.7407959057417848,1.0,500,false,10
10020,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.7417848002687549,1.0,500,false,33
10021,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.7454335058361579,1.0,500,false,16
10022,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.7472681705765748,1.0,500,false,7
10023,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.7472681705765748,1.0,500,false,16
10024,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7454335058361579,1.0,500,false,190
10025,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.7472681705765748,1.0,500,false,83
10026,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.7472681705765748,1.0,500,false,39
10027,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,1.0,1.0,500,true,79
20001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.9970438695245746,1.0,500,false,13
20002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,1.0,1.0,500,true,42
20003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,1.0,1.0,500,true,4
20004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,1.0,1.0,500,true,15
20005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,30
20006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.9956571182197101,1.0,500,false,121
20007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,34
20008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,94
20009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,43
20010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.9970438695245746,1.0,500,false,13
20011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,1.0,1.0,500,true,42
20012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,1.0,1.0,500,true,4
20013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,1.0,1.0,500,true,15
20014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,30
20015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.9956571182197101,1.0,500,false,121
20016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,34
20017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,94
20018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,43
20019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.9970438695245746,1.0,500,false,13
20020,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,1.0,1.0,500,true,42
20021,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,1.0,1.0,500,true,4
20022,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,1.0,1.0,500,true,15
20023,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,30
20024,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.9956571182197101,1.0,500,false,121
20025,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,34
20026,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,94
20027,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,43
30001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,0.7444299968153774,1.0,500,false,7
30002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,0.7454303908058972,1.0,500,false,27
30003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,0.8079376336991753,1.0,500,false,54
30004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,0.7454303908058972,1.0,500,false,10
30005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,0.7445627710175525,1.0,500,false,1
30006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,1.0,1.0,500,true,57
30007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,0.7454303908058972,1.0,500,false,57
30008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,0.7454303908058972,1.0,500,false,4
30009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,1.0,1.0,500,true,85
30010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,0.7444299968153774,1.0,500,false,7
30011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,0.7454303908058972,1.0,500,false,27
30012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,0.8079376336991753,1.0,500,false,54
30013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,0.7454303908058972,1.0,500,false,10
30014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,0.7445627710175525,1.0,500,false,1
30015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,1.0,1.0,500,true,57
30016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,0.7454303908058972,1.0,500,false,57
30017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,0.7454303908058972,1.0,500,false,4
30018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,1.0,1.0,500,true,85
30019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,0.7444299968153774,1.0,500,false,7
