number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
10001,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.7491165997573589,1.0,500,false,9
10002,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.6410345090008038,1.0,500,false,33
10003,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.6986509120422875,1.0,500,false,0
10004,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.7491165997573589,1.0,500,false,15
10005,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.7491165997573589,1.0,500,false,15
10006,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7417878794919464,1.0,500,false,274
10007,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.7491165997573589,1.0,500,false,57
10008,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.7491165997573589,1.0,500,false,22
10009,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,0.7491165997573589,1.0,500,false,68
10010,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.7491165997573589,1.0,500,false,9
10011,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.6410345090008038,1.0,500,false,33
10012,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.6986509120422875,1.0,500,false,0
10013,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.7491165997573589,1.0,500,false,15
10014,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.7491165997573589,1.0,500,false,15
10015,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7417878794919464,1.0,500,false,274
10016,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.7491165997573589,1.0,500,false,57
10017,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.7491165997573589,1.0,500,false,22
10018,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,0.7491165997573589,1.0,500,false,68
10019,1,Shubert function,false,,,13,5,0.5,1.5,0.1,-0.15,0.7491165997573589,1.0,500,false,9
10020,1,Shubert function,false,,,13,5,1.0,1.0,0.1,-0.15,0.6410345090008038,1.0,500,false,33
10021,1,Shubert function,false,,,13,5,1.5,0.5,0.1,-0.15,0.6986509120422875,1.0,500,false,0
10022,1,Shubert function,false,,,13,5,0.5,1.5,0.5,-0.15,0.7491165997573589,1.0,500,false,15
10023,1,Shubert function,false,,,13,5,1.0,1.0,0.5,-0.15,0.7491165997573589,1.0,500,false,15
10024,1,Shubert function,false,,,13,5,1.5,0.5,0.5,-0.15,0.7417878794919464,1.0,500,false,274
10025,1,Shubert function,false,,,13,5,0.5,1.5,0.9,-0.15,0.7491165997573589,1.0,500,false,57
10026,1,Shubert function,false,,,13,5,1.0,1.0,0.9,-0.15,0.7491165997573589,1.0,500,false,22
10027,1,Shubert function,false,,,13,5,1.5,0.5,0.9,-0.15,0.7491165997573589,1.0,500,false,68
20001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.7454303908058972,1.0,500,false,2
20002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,0.7454303908058972,1.0,500,false,9
20003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,0.7445627710175525,1.0,500,false,17
20004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,0.7454303908058972,1.0,500,false,4
20005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,0.7454303908058972,1.0,500,false,8
20006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.7454303908058972,1.0,500,false,2
20007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,0.7454303908058972,1.0,500,false,44
20008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,0.7454303908058972,1.0,500,false,19
20009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,0.7454303908058972,1.0,500,false,17
20010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.7454303908058972,1.0,500,false,2
20011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,0.7454303908058972,1.0,500,false,9
20012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,0.7445627710175525,1.0,500,false,17
20013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,0.7454303908058972,1.0,500,false,4
20014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,0.7454303908058972,1.0,500,false,8
20015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.7454303908058972,1.0,500,false,2
20016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,0.7454303908058972,1.0,500,false,44
20017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,0.7454303908058972,1.0,500,false,19
20018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,0.7454303908058972,1.0,500,false,17
20019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.0,0.7454303908058972,1.0,500,false,2
20020,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.0,0.7454303908058972,1.0,500,false,9
20021,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.0,0.7445627710175525,1.0,500,false,17
20022,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.0,0.7454303908058972,1.0,500,false,4
20023,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.0,0.7454303908058972,1.0,500,false,8
20024,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.0,0.7454303908058972,1.0,500,false,2
20025,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.0,0.7454303908058972,1.0,500,false,44
20026,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.0,0.7454303908058972,1.0,500,false,19
20027,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.0,0.7454303908058972,1.0,500,false,17
30001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,0.7471673616589711,1.0,500,false,6
30002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,0.7472476700928927,1.0,500,false,12
30003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,0.7490928294764028,1.0,500,false,11
30004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,0.7491165997573589,1.0,500,false,7
30005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,0.7491165997573589,1.0,500,false,6
30006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,0.7491165997573589,1.0,500,false,18
30007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,0.7491165997573589,1.0,500,false,28
30008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,0.7491165997573589,1.0,500,false,33
30009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,0.7491165997573589,1.0,500,false,47
30010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,0.7471673616589711,1.0,500,false,6
30011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,0.7472476700928927,1.0,500,false,12
30012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,0.7490928294764028,1.0,500,false,11
30013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,0.7491165997573589,1.0,500,false,7
30014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,0.7491165997573589,1.0,500,false,6
30015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,0.7491165997573589,1.0,500,false,18
30016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,0.7491165997573589,1.0,500,false,28
30017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,0.7491165997573589,1.0,500,false,33
30018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,0.7491165997573589,1.0,500,false,47
30019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-1.5,0.7471673616589711,1.0,500,false,6
30020,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-1.5,0.7472476700928927,1.0,500,false,12
30021,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-1.5,0.7490928294764028,1.0,500,false,11
30022,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-1.5,0.7491165997573589,1.0,500,false,7
30023,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-1.5,0.7491165997573589,1.0,500,false,6
30024,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-1.5,0.7491165997573589,1.0,500,false,18
30025,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-1.5,0.7491165997573589,1.0,500,false,28
30026,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-1.5,0.7491165997573589,1.0,500,false,33
30027,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-1.5,0.7491165997573589,1.0,500,false,47
40001,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-2.0,1.0,1.0,500,true,14
40002,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-2.0,0.9992164682223881,1.0,500,false,60
40003,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-2.0,0.9524214905086129,1.0,500,false,390
40004,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-2.0,1.0,1.0,500,true,12
40005,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-2.0,1.0,1.0,500,true,38
40006,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-2.0,0.9839040756692116,1.0,500,false,495
40007,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-2.0,1.0,1.0,500,true,59
40008,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-2.0,1.0,1.0,500,true,115
40009,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-2.0,1.0,1.0,500,true,218
40010,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-2.0,1.0,1.0,500,true,14
40011,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-2.0,0.9992164682223881,1.0,500,false,60
40012,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-2.0,0.9524214905086129,1.0,500,false,390
40013,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-2.0,1.0,1.0,500,true,12
40014,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.5,-2.0,1.0,1.0,500,true,38
40015,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.5,-2.0,0.9839040756692116,1.0,500,false,495
40016,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.9,-2.0,1.0,1.0,500,true,59
40017,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.9,-2.0,1.0,1.0,500,true,115
40018,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.9,-2.0,1.0,1.0,500,true,218
40019,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.1,-2.0,1.0,1.0,500,true,14
40020,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.0,1.0,0.1,-2.0,0.9992164682223881,1.0,500,false,60
40021,1,Shubert function,true,Penalty Method,Constraint 3,13,5,1.5,0.5,0.1,-2.0,0.9524214905086129,1.0,500,false,390
40022,1,Shubert function,true,Penalty Method,Constraint 3,13,5,0.5,1.5,0.5,-2.0,1.0,1.0,500,true,12
